,french,bassa
0,"De plus, les Écritures exigent que le juste prenne soin de ses animaux domestiques .","Jam lipe li yé le, Bitilna bi nkal le mut a téé sép a ntôñ niñ i lém yé. —Bingéngén 12:10"
1,"Dans le droit fil de cette Loi, Proverbes 12:10 déclare : “ Le juste s’occupe de l’âme de son animal domestique, mais les miséricordes des méchants sont cruelles.","Inoñnaga ni Mbén i, kaat Bingéngén 12:10 i nkal le: “Mut a téé sép a ntôñ niñ i lém yé, ndi miñem mi bibéba bi bôt mi nsônha njonok.”"
2,"J’étais angoissée à l’idée de quitter notre famille, notre congrégation, notre appartement, tous les endroits qui nous étaient familiers et de changer nos habitudes.","Hala a tééñgaga me i yi le m’a yék lihaa jem, likoda jem, ndap yem, bahoma ni mam me bi meya."
3,3 L’appât de Balaam a- t- il fonctionné ?,3 Baa ba bi kwo mu hiandi hi Balam?
4,"Cet objectif défini, Balaam a alors lancé son appât : les séduisantes jeunes femmes de Moab. — Nombres 22:1-7 ; 31:15, 16 ; Révélation 2:14.","Ni jam li mahoñol, Balam a nleñ jéle yé —bigond bilam bi Môab. —Ñanga bôt 22:1-7; 31:15, 16; Masoola 2:14."
5,"Satan utilise l’immoralité sexuelle, l’orgueil et le surnaturel pour essayer de nous appâter .","Satan noode lôk bés ni dipa kiki bo malal ma nyega, béba ngôk, ni makañ"
6,11 Satan s’est servi d’appâts pour piéger un grand nombre d’anges.,11 Satan a bi gwélél hipa hi ngui inyu gwel ngandak biañgel.
7,"En fait, l’appât du Diable le plus efficace, c’est le sexe .","Ñ, hipa Nsohop a ngwélél ngandak i len ini, hi yé malal ma nyega. —Ñañga bôt 25:6, 14; 2 Korintô 2:11; Yuda 4."
8,13 Un autre appât que Satan utilise est la curiosité pour le surnaturel.,13 Hipa hi ngui hipe Satan a ngwélél hi yé ngôñ i yi mam ma sôli mbus makañ.
9,"Quel autre appât Satan utilise- t- il, et comment ne pas tomber dans le piège ?","Himbe hipa hipe hi ngui Satan a ngwélél, ni lelaa di nla keñgle hio?"
10,10 Continue d’apprendre à connaître Jéhovah.,10 Ke ni bisu i yi njee a yé Yéhôva.
11,Tous les hommes doivent apprendre,"Le bôt bobasô ba yi le,"
12,C’est donc très important d’apprendre à penser comme Jésus.,"Inyu hala nyen, i nlôôha ba nseñ i nigil hoñol kiki Kristô."
13,b) Que voulons- nous apprendre sur Yiphtah et Hanna ?,Kii di gwé ngôñ i nigil mu ndémbél i Yéfta bo Hana?
14,"Quand quelqu’un montre qu’il veut apprendre à connaître Jéhovah, Satan et les démons le remarquent et ils essaient de l’en empêcher.","Ngeñ mut a ñunda le a ngwés yi njee a yé Yéhôva, Satan ni mimbuu nwé mimbe ba nyimbe jam li, ba noode ki kéñ mut nu njel le a yi bañ Djob."
15,Nous pouvons profiter du culte familial pour nous entraîner à les chanter et à en apprendre les paroles.,Di nla gwélél ngéda bibégés bi ndap lihaa inyu nigil tjémbi ni bibañga gwap.
16,Voyons comment Jéhovah a protégé Job et ce que nous pouvons apprendre de ce qui lui est arrivé.,"Di nke tehe kii ñañ Hiôb u niiga bés, ni lelaa Yéhôva a bi sôñ nye."
17,9 Certains enfants peuvent avoir besoin d’apprendre à connaître Jéhovah dans deux langues : leur langue scolaire et celle parlée chez eux.,"9 Ngim boñge i nla bana ngôñ i nigil i yi Yéhôva ikété dilémb diba —hala wee hilémb hi ba ngwélél i suklu, ni hi ba mpot i ndap."
18,"De cette façon, nous pourrons en apprendre plus sur leur situation et leurs besoins.","Ha nyen di nla yéñ yi i mam ma mpémél bôt bape, ni ma ba gwé ngôñ."
19,"Quoiqu’il soit bon d’écouter et d’apprendre,","I yé loñge i emble bañga yé yi,"
20,"En deux ans, Pierre a appris énormément aux côtés de Jésus, mais il lui reste encore beaucoup à apprendre.","Mbus ñwii ima, Pétrô a nigil ngandak mam inyu Yésu, ndi a ngi gwé ngandak i nigil"
21,"Pour plaire à Jéhovah, nous devons apprendre à aimer tout le monde .","Inyu lémél Yéhôva, di nlama nigil i gwés bôt bobasôna. —1 Yôhanes 3:11, 12."
22,Quels bienfaits vos enfants peuvent- ils retirer à apprendre votre langue ?,Lelaa bon banan ba nla ôt nseñ i nigil hilémb hinan?
23,"Nous pouvons aussi apprendre une autre langue, ou déménager dans une autre région soit dans notre pays, soit à l’étranger . w17.06 10-11 § 8-9.","Di nla ki nigil hilémb hipe, tole di ke nit libôga lipe i loñ yés, tole di ke i loñ ipe. —Minson mi baôma 16:9, 10. w17.06 10, 11 § 8, 9"
24,Que pouvons- nous apprendre de l’erreur d’Asa ?,Kii hihôha hi Asa hi nla niiga we?
25,8 Des jeunes chrétiens décident d’apprendre une autre langue.,8 Ngim boñge ba wanda ba bi nigil hilémb hipe.
26,"En effet, il accorde de la valeur à la vie et croit que chaque humain est capable de se repentir et d’apprendre à faire le bien.","A ndiihe niñ i mut binam, a gwéhék ki le hiki mut a tam bibéba gwé, a nigil i boñ loñge."
27,Pourquoi est- ce important de cultiver le même point de vue que Jéhovah sur le mal et d’apprendre à nous maîtriser ?,"Lelaa i bana mahoñol ma Yéhôva inyu béba ni gwel bésbomede, i nsôñ bés ni maboñok mabe?"
28,"7, 8. a) Pourquoi cela prend- il du temps d’apprendre à connaître la vérité ?","7, 8.  Inyuki i mbéda ngéda inyu somb maliga?"
29,b) Comment des parents peuvent- ils apprendre à leurs enfants à se montrer reconnaissants ?,Lelaa bagwal ba nla niiga bon bap i ti mayéga?
30,8 Que peux- tu apprendre de l’exemple de Daniel ?,8 Bimbe biniigana u nla ôt mu ndémbél i Daniel?
31,La Bible dit qu’il est bien de se réserver du temps pour apprendre à connaître Jéhovah .,"Bibel i nkal le mut pék a nti nyemede ngéda i nigil yi nje a yé Yéhôva.—Efésô 5:15, 16."
32,Les parents de David ont commencé à lui apprendre à aimer Jéhovah quand il était bébé.,"Ibôdôl ni ngéda David a bé nkéñéé man, bagwal bé ba bi niiga nye i gwés Yéhôva."
33,b) Pourquoi certains enfants sont- ils réticents à apprendre la langue de leurs parents ?,Inyuki ngim boñge i ntjél nigil hop u bagwal bap?
34,"Si quelqu’un a des compétences dans le domaine de la maintenance ou aimerait apprendre en aidant ceux qui en ont, que devrait- il faire ?","Ibale mankéé wada a gwé ngim likeñge, tole a nsômbôl nigil i pañ bet ba gwé ngim ngap, kii a nlama boñ?"
35,"” De même que l’eau redonne vie à un arbre desséché, une parole calme dite par une langue apaisante peut redonner le moral à celui qui l’entend.","* Kiki malép ma nti nkôt e niñ, hala nyen bipôdôl bilam bi nlôl i tomba hilémb bi nla hôyôs miñem mi baemble."
36,Tout arbre qui ne produit pas de beaux fruits sera coupé et jeté au feu » .,"Jon hiki e i i num bé matam malam, ba nkit yo, ba leñ yo ikété hié.” —Matéô 3:7-10."
37,"Tous les membres de la congrégation chrétienne à travers le monde tirent profit du soutien et de la protection des « grands arbres de justice », à savoir le reste oint.","Bilôk bikéé bi makoda momasôna bi nkôs nseñ mu mahôla ma nlôl bo ni njel “manjap ma telepsép,”  hala wee minhook"
38,"Dn 4:10, 11, 20-22 : Que représentait l’arbre immense dans le rêve de Neboukadnetsar ?","Daniel 4:10, 11, 20-22 —Mbôm e Nébukadnézar a bi tehe i eem yé, i bé yimbne i kii?"
39,"En Éden, il a demandé à Ève : “ Est- ce vrai que Dieu a dit que vous ne devez pas manger de tout arbre du jardin ?","I wom Eden, a bi bat Eva le: “Baa, hodo le Nyambe a nkal le, ni je bañ matam ma bie gwobisôna mu wom?”"
40,"Tels de beaux arbres plantés près de sources,","Ngéda di nôgôl Yéhôva, Tata wés,"
41,"17 En mangeant du fruit de l’arbre en Éden, Ève a rejeté son Père.","17 Ngéda Éva a bi je litam li e i wom Éden, a bi ndogbene Isañ."
42,"Celui qui a une identité forte ressemble à un arbre solidement enraciné, qui résiste aux violentes tempêtes.","Ngéda u nyi toi umbe ntén mut u yé, u yé kiki e le i gwé minkañ nwé mi umi siñ siñ, kayéle mbuk mbebi a nla bé kwés yo"
43,62 Un royaume qui est comme un grand arbre,62 Ane i i yé kiki soso e
44,"Jésus a dit : « Tout bon arbre produit de beaux fruits, mais tout arbre pourri produit des fruits sans valeur [...].","Yésu a kal le: “Hiki ee lam i num matam malam, ndi hiki ee be i num matam mabe . . ."
45,"18 Jésus constate également que ces mains puissantes, qui abattent des arbres, scient des planches et assemblent les pièces de charpente à grands coups de marteau, savent tout autant le réconforter lui, sa maman ou ses frères et sœurs d’une caresse sur la joue.","18 Yésu a nsôk a léba ki le mimpémba mi moo mi isañ, mi mi nkek bie, mi kanak bikék, mi gwéélak hama inyu tômôl mabam, mi nla ki siinga nye limañ inyu hôgbaha nye, nyañ, loñni bilôk binyañ bi bôlôm ni bi bôda."
46,"Elle est comme un arbre en train de mourir, mais dans lequel il reste un peu de vie, puisque Jésus est présent, tout comme de nombreux Juifs qui ont foi en lui.","Yésu a mpôdôl litén li Yuda, li li yé kiki e i i yé wo, inyule Yésu a ngi niñik, nye ni ngim bon i Lôk Yuda i i nhémle nye."
47,"Plus elle regardait les fruits de l’arbre interdit, plus elle en voulait.","Kiki Éva a bé kenek ni bisu i béñge litam li, hala nyen ngôñ i je jo i bé keñep."
48,"» Tout comme un arbre magnifique peut avoir un effet stimulant et redonner de la vie, des paroles gentilles peuvent redonner de l’énergie à quelqu’un.","Kiki malép ma nsunhe e, ma tinak yo niñ, hala ki nyen bipôdôl bilam bi nla hôyôs miñem mi baemble."
49,"Les mots grecs qui sont traduits par « croix » veulent dire « poteau », « bois » ou « arbre ».","Bibuk ni hop Grikia bôt ba nkobol le “mbasa,” i maliga bi nkobla le “kék i téé,” “mbiñ,” tole “e.”"
50,En quel sens les pharisiens sont- ils comme un arbre pourri ?,Ni imbe njel Farisai i yé kiki mbôô e?
51,"Je me suis tapi derrière un arbre couché, ce qui a conduit à ma rencontre avec les soldats évoquée en introduction.","Me bi solop i mbus nkok e, hala nyen me boma bisônda bi me mbôk me añle bé."
52,Les prophéties de la grande image et de l’arbre immense sont la garantie que le royaume de Jéhovah va bientôt supprimer la méchanceté et gouverner la terre.,"Mbañ inyu soso ôñgba, ni mbôm e, bi ñéba le Ane Yéhôva i yé bebee i sas bibéba gwobisôna, y’a énél ki hisi."
53,"Prenons un exemple : Quand on déplace un arbre, il subit un stress.","Di yoñ hihéga hini: Ngéda ba nup bie inyu ke bel gwo homa mpe, hala a yé a ba ndutu ngandak."
54,Un royaume qui est comme un grand arbre,Ane i i yé kiki soso e
55,.,
56,L’arbre : l’accomplissement du projet de Dieu concernant l’alliance abrahamique.,E: biyônôl bi bitelbene bi Djob inyu malômbla ni Abraham
57,l’arbre les fleurs,Ee Mbônji
58,"Alors, à quoi préférerais- tu ressembler : à une feuille morte que la moindre brise soulève ou à un arbre qui résiste aux tempêtes les plus puissantes ?","Sôk i nsôk, njee w’a pôôna? Baa w’a ba kiki minkôt mi tjai, mi mi nkwo isi ngéda man mbebi a nhôñ, tole w’a ba kiki e i i nyégle bitétéé yak ngéda mbuk mbebi a nhôñ?"
