,bassa,french
0,"Ni mahôla ma bagwal bé, ni ma bilôk bikéé bipe mu likoda, sita yés i bi sôk i yila nsañal nu ngéda yosôna.","Grâce à l’aide de ses parents et d’autres dans la congrégation, cette jeune chrétienne a atteint son objectif de devenir pionnière permanente."
1,"A bi lôôha unda ñem ngui, a jôp bôlô, ni mahôla ma Yéhôva, a bi mal oñ témpel i bé lam kiyaga, mbus nwii 7 ni pes.","Il s’est montré très courageux, il a agi, et avec l’aide de Jéhovah il a construit un temple magnifique en sept ans et demi."
2,", 8. Lelaa i téé mam di nlama boñ i pes mbuu i nla boñ le, i yoñ makidik malam i ba jam li tomb?",", 8. a) Pourquoi disons- nous que se fixer des objectifs aide à prendre de bonnes décisions ?"
4,"Ibôdôl behee, ntôñ u Yéhôva u nsal ni ngui inyu boñ le di nok lingoñoo, ngéda di ñañ miñañ mi bôt ba yé ikété Bibel, di nôgdaga wengoñle di yé i tehe kiki ba bé niñ ha ngéda i.","Depuis longtemps, l’organisation de Jéhovah nous aide à nous mettre à la place des personnages bibliques et à imaginer où ils vivaient."
5,Dimbe tjémbi di ñunda lelaa Djob a nti bôt ba ngwés nye mahôla ni hogbe?,Quels Psaumes montrent que Dieu aide et console ceux qui l’aiment ?
6,Kii i bi hôla nye i nôgda le Nyambe a bé gwés nye?,Qu’est- ce qui l’a aidée à se sentir aimée par Dieu ?
7,Kii yé jam li bisu ngéda Yéhôva a nlôl bés mahôla?,"Lorsque Jéhovah nous aide, que nous donne- t- il en priorité ?"
8,"▪ BASE MALIGA I ÑUMUS MAHAA NI HÔLA BÔT I BANA BILEM BILAM: Base maliga i niiga bôlôm le ba ‘gwés baa bap kikii bomede,’ i nhôla bôda le ba hôlôs ‘lipém li li nlôl ñem inyu balôm bap,’ i niiga yak boñge le ‘ba nôgôl bagwal bap.’","▪ CONSOLIDE LES FAMILLES ET OBSERVE DES NORMES MORALES ÉLEVÉES : La vraie religion apprend aux maris à aimer leurs femmes comme leurs propres corps , aide les femmes à acquérir ‘ un profond respect pour leurs maris ’, et enseigne aux enfants qu’ils doivent ‘ obéir à leurs parents ’."
9,"I yoñ ngéda i ôt pék mu ndémbél gwéha i Yésu, ngéda liwanda jem li bôlô li bi suu me, i bi hôla me i unda nye nlélém gwéha.",Réfléchir à l’amour que Jésus manifestait même quand on lui faisait du mal m’a aidée à montrer le même genre d’amour à ma collègue.
10,"Ibale Man Djob, nu a bé a yôni, a bé a gwé ngôñ masoohe inyu bat Djob mahôla ni ngui, bô ni ngélé yañen bés ba di ta bé peles!","Si même le Fils de Dieu, qui était parfait, a ressenti le besoin de demander l’aide et la force de son Père, que dire de nous !"
