,french,bassa
0,"Grâce à l’aide de ses parents et d’autres dans la congrégation, cette jeune chrétienne a atteint son objectif de devenir pionnière permanente","Ni mahôla ma bagwal bé, ni ma bilôk bikéé bipe mu likoda, sita yés i bi sôk i yila nsañal nu ngéda yosôna"
2,"Il s’est montré très courageux, il a agi, et avec l’aide de Jéhovah il a construit un temple magnifique en sept ans et demi","A bi lôôha unda ñem ngui, a jôp bôlô, ni mahôla ma Yéhôva, a bi mal oñ témpel i bé lam kiyaga, mbus nwii 7 ni pes"
5, a) Pourquoi disons- nous que se fixer des objectifs aide à prendre de bonnes décisions ?," Lelaa i téé mam di nlama boñ i pes mbuu i nla boñ le, i yoñ makidik malam i ba jam li tomb?"
6,"Depuis longtemps, l’organisation de Jéhovah nous aide à nous mettre à la place des personnages bibliques et à imaginer où ils vivaient","Ibôdôl behee, ntôñ u Yéhôva u nsal ni ngui inyu boñ le di nok lingoñoo, ngéda di ñañ miñañ mi bôt ba yé ikété Bibel, di nôgdaga wengoñle di yé i tehe kiki ba bé niñ ha ngéda i"
8,Quels Psaumes montrent que Dieu aide et console ceux qui l’aiment ?,Dimbe tjémbi di ñunda lelaa Djob a nti bôt ba ngwés nye mahôla ni hogbe?
9,Qu’est- ce qui l’a aidée à se sentir aimée par Dieu ?,Kii i bi hôla nye i nôgda le Nyambe a bé gwés nye?
10,"Lorsque Jéhovah nous aide, que nous donne- t- il en priorité ?",Kii yé jam li bisu ngéda Yéhôva a nlôl bés mahôla?
11,"▪ CONSOLIDE LES FAMILLES ET OBSERVE DES NORMES MORALES ÉLEVÉES : La vraie religion apprend aux maris à aimer leurs femmes comme leurs propres corps , aide les femmes à acquérir ‘ un profond respect pour leurs maris ’, et enseigne aux enfants qu’ils doivent ‘ obéir à leurs parents ’","▪ BASE MALIGA I ÑUMUS MAHAA NI HÔLA BÔT I BANA BILEM BILAM: Base maliga i niiga bôlôm le ba ‘gwés baa bap kikii bomede,’ i nhôla bôda le ba hôlôs ‘lipém li li nlôl ñem inyu balôm bap,’ i niiga yak boñge le ‘ba nôgôl bagwal bap"
13,Réfléchir à l’amour que Jésus manifestait même quand on lui faisait du mal m’a aidée à montrer le même genre d’amour à ma collègue,"I yoñ ngéda i ôt pék mu ndémbél gwéha i Yésu, ngéda liwanda jem li bôlô li bi suu me, i bi hôla me i unda nye nlélém gwéha"
15,"Si même le Fils de Dieu, qui était parfait, a ressenti le besoin de demander l’aide et la force de son Père, que dire de nous ","Ibale Man Djob, nu a bé a yôni, a bé a gwé ngôñ masoohe inyu bat Djob mahôla ni ngui, bô ni ngélé yañen bés ba di ta bé peles"
17,"Mais nous, nous sommes heureux que Jéhovah nous aide à être en paix et à comprendre la vérité ",Ndi bés di nti Yéhôva mayéga le a bi hôla bés i niñ ikété nsañ ni i nok maliga
19,Comment la modestie nous aide- t- elle face à des reproches injustes ?,Lelaa ñem nsôhga u nla hôla bés ngéda ba ñôm bés nsohi?
20,"Essaie de savoir quelles épreuves subit leur foi, et aide- les à y faire face","Noode yi mam momasôna ma noode hémle yap, u hôla ki bo i yémbél mo"
22,Qu’est- ce qui l’a aidée ?,Kii i bi hôla nye?
23,Qu’est- ce que tu fais quand tu as peur ?,"Ngéda u nkon woñi, u mboñ kii?"
24,"Avec l’aide de son ami Antonio, il a surmonté une mauvaise passe","Ni mahôla ma liwanda jé li mahee le Antôniô, a bi la nihbe mangéda ma ndutu ikété niñ yé"
26,"Si tu es un père ou une mère, aide ton enfant à comprendre pourquoi Jéhovah leur a donné la Loi, le tabernacle et la prêtrise","Ibale u gwé man, hôla nye i nok inyuki Yéhôva a bi ti bon ba Israel Mbén, Lap, ni biprisi"
