,french,bassa
0,Dieu demande aux enfants d’obéir à leurs parents .,A mbem le bagwal ba niiga ni le ba kodol bon bap.
1,10 Continue d’apprendre à connaître Jéhovah.,10 Ke ni bisu i yi njee a yé Yéhôva.
2,Son rêve l’a tellement perturbé qu’il n’arrivait plus à dormir.,Li bi tééñga nye kayéle hilo hi ke nye ngwéé.
3,La Bible avait annoncé qu’après la mort des apôtres de faux enseignements et des pratiques non chrétiennes pénétreraient peu à peu dans la congrégation chrétienne.,"Bibel i bôg kal le i mbus nyemb baôma, biniigana bi bitembee ni maboñog ma ma ta bé ma kristen m’a jôb ndég ni ndég ikété ntôñ bikristen."
4,"Par exemple, ce que nous apprenons à la réunion Vie chrétienne et ministère nous permet d’avoir plus d’assurance quand nous faisons des nouvelles visites et quand nous enseignons la Bible.","Biniigana bi mahee di nkôhna mu likoda li, bi nhôla ngandak ikété yés i hôlôs likeñge jap inyu mapeple ni gwigil bi Bibel."
5,Penser à l’esprit est vie et paix.,Niñ i nsañ i nlôl ni mam ma mbuu.
6,À aimer ta vérité.,Maliga ni pék ’nlôl ngii.
7,"À première vue, nous pourrions penser qu’Éliphaz et Bildad faisaient preuve d’humilité .","I pot maliga, ibale mut a nyôgi i ngii hikôa, tole a yé béñgne i winda i hinuni hi bikei, bôt ba binam ba nene nye kiki litôi li malép."
8,8 Naomi encourage Ruth à accepter la proposition de Boaz de glaner dans ses champs et près des jeunes femmes de sa maisonnée pour que les moissonneurs la laissent tranquille.,"8 Naômi a nti Ruth makénd le a neebe mahôla ma Bôas, ni le a ke ni bisu i toohe ikété nwom nwé. A nkal ki nye le a yén bebee ni bingond bi ndap i Bôas inyu kéñ le babumbul ba ntééñga bañ nye."
9,16 Nos marques d’amour ne se limitent pas à notre entourage.,16 Gwéha di gwéne bôt bape i ta ndik bé inyu bôt ba niñ bés bebe.
10,Et faut- il nous tenir à nos décisions quoi qu’il arrive ?,Baa i ba bebee i yoñ makidik i nkobla le di téñ ndik le di ga héñha bé makidik més to ibale kii?
11,Cet article donne des raisons de se fixer des objectifs spirituels dès le plus jeune âge et d’accorder la priorité à la prédication.,"Yigil ini, i nti bés ngandak manjom i pala téé mam di nlama yônôs i niñ yés, ni i bii nson likalô kiki jam li bisu i niñ yés."
12,Enseigne à tes enfants à se montrer reconnaissants* .,Niiga bon boñ i ti mayéga *
13,Jésus vient d’encourager ses apôtres en discutant avec eux à cœur ouvert.,"Yésu a ntip kwel ni baôma bé inyu lédés bo, a nyible bo ñem wé."
14,"Quand elle a appris qu’il arrivait, elle s’est maquillée, elle s’est coiffée et elle a attendu à l’étage en regardant par la fenêtre.","Kiki Yézabel a nok bañ le Yéhu a yé njel, a pén su wé, a eñg ño wé, a kahal peble i winda."
15,"» Grâce à l’aide de ses parents et d’autres dans la congrégation, cette jeune chrétienne a atteint son objectif de devenir pionnière permanente.","Ni mahôla ma bagwal bé, ni ma bilôk bikéé bipe mu likoda, sita yés i bi sôk i yila nsañal nu ngéda yosôna."
16,Lisez à votre enfant :,Éñél man woñ:
17,Qu’est- ce que je ferai si mes camarades me poussent à mal agir ?,"Ibale bisega gwem bi noode tinde me i boñ béba jam, kii me ga boñ?"
18,"À maintes reprises à l’époque des juges, les Israélites ont fait le mauvais choix.","Yak ngéda Bakéés, bon ba Lôk Israél ba bi yoñ makidik mabe."
19,"Est- ce que vous voyez, là-bas à l’horizon, la récompense promise, le monde nouveau que vous attendez depuis longtemps ?","Baa yak we u ntehe mbok yondo, ni bisai Yéhôva a mbôn we?"
20,"Quelle est l’œuvre que Dieu demande à son peuple d’effectuer aujourd’hui, et qui l’accomplit ?","Umbe nson Djob a ñéga litén jé le li sal len ini, bonje ba nsal wo?"
21,"Un serviteur se tourne vers son maître, c’est-à-dire compte sur lui, pour recevoir nourriture et protection. Mais il doit aussi se tourner constamment vers lui pour comprendre quelle est sa volonté et la faire.","A bé gwés kal le nkol u nun ndik bé nwet wé inyu kôs bijek, tole inyu boñ le a sôñ nye, ndi le nkol u nlama béñge nwet wé inyu yimbe mam ma nkon nye ngôñ, kayéle a yônôs mo."
22,13 Participe à des opérations de secours.,13 Yoñ ngaba i hôla bôt bikuu bi nkwél.
23,L’idée que Dieu choisisse à l’avance quelles épreuves nous subirons suppose qu’il connaisse tout de notre avenir.,Mahoñol mana le Djob a mpohol i bisu bi ngéda mambe manoodana di ga boma ma nkobla le a nlama yi hiki jam inyu bilôl gwés.
24,Quelles pressions a subies Sergeï pour désobéir à Dieu ?,Lelaa ba bé noode tômbôs ndéñbe i Serge ipañ Djob?
25,"Si quelqu’un continue de pratiquer des actes sexuels immoraux, il ne peut plus faire partie de l’assemblée.","Ibale mut a nke ni bisu i boñ malal ma nyega, a nla bé yén ikété likoda."
26,"On s’aperçoit par ailleurs, en examinant ces dispositions, que son souci ne se limite pas aux membres d’une seule nation, mais s’étend à des gens de toutes nations, tribus et langues. — Actes 10:34, 35.","Bitelbene gwé bi ñéba le a ntôñ ndig bé bôt ba loñ yada, ndi bôt ba biloñ gwobisôna, ba matén momasôna, ni dilémb tjodisôna.—Minson mi baôma 10:34, 35."
27,C’est ainsi qu’ils montrent publiquement qu’ils ont abandonné leur mauvaise façon de vivre et qu’ils veulent servir Dieu durant toute leur vie. — Actes 2:41.,Hala nyen ba ñéba i mbamba le ba bi nwas nlômbi wap béba niñ inyu tégbaha niñ yap i gwélél Djob. —Minson mi Baôma 2:41
