bassa,traduction
kiň,la voix
djoo,le cou
kine,le chef
kaasa,roi
kaat,le cahier/le courrier
kobot,l'armoire
kôyôp,rouge
kômôl,noisettes
kengle,evite
kembe,le mouton/la chèvre sheep
kunde,la liberté
kel,le jour
kekela,le matin
kossi,le midi
kôkôa,le soir
hikanga,arête
kul,la tortue
kôp,le poulet
ba,ils
bo,eux
béé,vous
bés,nous
banigil,les élèves les étudiants
banga,le chiffre ou bien important
buk,le mot
bilama,la beauté
bisimba,le malheur
bot,le sac
bidjek,la nourriture
boma,la réunion
bisaï,bénédiction
bape,les autres
biték,la terre
bôlô,le travail
bas,le sel
bigda,le souvenir
béba,mauvais
bumbul,récolte
boña,cerveau
lama,beau/beauté
lambe,la lampe
land,remontées acides
lañ,lait de noix de palmistes
lébla,ouvrier
léman,le miroir
lém,animal domestique
lèm,caractère
lembè,mentir
lémés,embellir
lelaa,comment
lép,le cours d'eau
let,dur
lédés,encourager
likoga,la porte
liké,la marche
lisongol,la lecture
likubé,la banane douce
likondo,banane plantin
lihaa,la famille
likala,le beignet
likalô,message
likaa,l'inceste
lipém,la gloire
lihon,la graisse
lion,la gourmandise
lisôô,l'igname
litôa,la voiture
libum,le ventre
libaï,la gifle
longè (hiémbi),chanter
lisolbènè,le refuge
lipamal,l'arrogance
liyès,la ventardise
lisuni,le froid
lihep,le froid
libadô,le pagne
libimbè,rougeole
lisayap,la bénédiction
lôg,tribu (famille)
lima,ignorer (se taire)
longè,bien
lipubi,la propreté
libéé,le sein
liwanda,l'ami
lituba,le trou
lingwan,la richesse
libem,grenouille (goliath)
lôm,l'époux
luk,les toilettes
liyep,la pauvreté
libii,mariage
likeň,la salive la bave
èe,arbre
énél,autorité
éble /ep,envoyer
éba,montrer
emble,écouter
emel,rêver
eem,rêve
ét,lourd
ébél,gobelet
édél,avec (ni)
él =,débroussailleuse
émbél,piège
émblenè,appât
éña,lieu de lecture
enng,habit
eñngbana,vestiaire
épnana,présentoire/étalage
djala,le crabe
djaï,le chasse mouche
django,la chasse
djob,dieu/le soleil
djôb (djem),le nombril (mon)
djôb (i ndap),entrer (dans la maison)
djibè,les ténèbres /l'obscurité
djimb,apparté / complicité
djomb,le paquet
dju,dans la nuit ( u la nuit)
djém,enceinte
djem,le drame
djam,quelque chose
djimba,le bouchon/le capuchon
djas,le menton
djis,l'œil (pluriel mis)
djôl,le nez
djoï,le nom
djon,donc
djumbul,le nid
dibôlô,les boutons d'acné
djin,mixture médicamenteuse djuem => huit
djôm,dix
djangôlô,la mangue
diban,les cailloux
dje,manger
ngwéha,l'amour
nyambe,dieu
ngand,la fète
ndap,la maison
nop,la pluie
ngi,le ciel/le haut
ngangô,le parapluie
nun,regarde
ndjiñ,l'odeur
ndjel,le chemin
ndjamua,le jour
nkônô,le gâteau
niiga,apprendre/enseigner
nuga,une bête l'animal
nlom,le mari/le mal
ndjin,l'odeur
ngan,le crocodile/la nouvelle
nyunga,la vente
ndjon,la jalousie
ndenga,la torture
ndéng,la drague
ndumba,la peine
nyo,la bouche
nyoo,le serpent
nyaga,la crevette
ndôg,ceux-là/de la famille de
nyuu,le corps
ngim,entier
ñoo,la tête
nip,dérober/voler quelque
nyanga,la toilette
nyemb,la mort
pala,se dépêcher
pot /pod,parler
posa,porte monnaie
puba,blanc
pôs,tromper
pam,sors
popoda,bavardage
péba,papier
pem,la craie
pébéé,cafard
pan,assiette
puma,orange
pada,prêtre
péda,petit
piya,avocat
pelè,case
paga,poisson fumée
pék/pég,idée
pek,stopper/faire signe
pal,la patte
pôndi,un fut
pôla,le milieu
pes,bousculer/écarter.
péé,vipère
poo,plaie
pôôs,emprunter
pémés,sortir / mettre dehors
poños,la moelle
pén,peinture
pénda,doute
pesba,pousse toi / ôte toi
pulè,tôt
pééna,nier
paf,bouillie
pombè,fontaine
pôdôl,parole
pep,souffler
pôôna,ressemblance
puu,duper/donner peu
pagbe,coincer/s'accaparer
pil,la dette
pobo,papaye
tidbe/teble,piétiner
tagbe,passe
tôde,réveille toi
timbis,remets
ténga,déranger
telep,debout
tibil,arrange/soigne
témb,retourne
tehe,voir
top,chanter
titii,image
tohi,sauvé
tisba,toucher
tungul,mélanger/remuer
tok,la cuillère
tômblô,le verre
tamba,le chapeau
haba,l'habillement/clothing
hiandi,le piège/the trap
hana,ici/here
hanano,maintenant/now
hianga,le soleil/the sun
héa,enlever/to remove
hee,où/where
hémle,la foi/the faith
helba,se tourner/to turn around
helel,remplacer/to replace
hep,le froid/the cold
hiembi,le chant/the song
hilémb,la langue/the language
hiloba,le piment/the pepper
hilolombi,dieu/god
hiliba,la clé/the key
hinuni,l'oiseau/the bird
hiodot,l'étoile/the star
hiol,le rire/the laugh
hiobi,le poisson/the fish
hiôn,le cheveu/the hair
hiôndè,l'arachide/peanut
hison,la honte/shame
hiun,la colère/anger
hogbé,le bonheur/hapiness
hôla,l'aide/the help
holè,le balai/the broomstick
homa,endroit/the place
honol,penser/to think
hônba,la patience/patience
hop,la parole/la langue
hôya,l'oubli/the oversight
